Country,Year,Happiness_Score,GDP_per_Capita,Social_Support,Healthy_Life_Expectancy,Freedom,Generosity,Corruption_Perception,Unemployment_Rate,Education_Index,Population,Urbanization_Rate,Life_Satisfaction,Public_Trust,Mental_Health_Index,Income_Inequality,Public_Health_Expenditure,Climate_Index,Work_Life_Balance,Internet_Access,Crime_Rate,Political_Stability,Employment_Rate
USA,2014,4.21,6072.45,0.79,77.72,0.63,0.18,0.73,18.47,0.6,1290046343,65.71,5.66,0.77,50.6,42.84,6.42,36.92,4.16,86.07,41.48,0.76,96.83
Germany,2019,5.42,50756.61,0.17,75.8,0.77,0.12,0.29,2.29,0.86,750711212,66.05,5.06,0.03,74.01,50.71,3.61,50.28,5.91,40.58,49.74,0.36,96.0
UK,2021,7.43,43362.37,0.11,81.57,0.27,0.15,0.98,5.83,0.75,1303926535,43.06,7.8,0.56,61.38,30.48,2.77,79.79,5.26,78.77,40.75,0.54,65.38
Brazil,2010,4.89,56674.39,0.75,58.27,0.74,-0.06,0.68,6.22,0.95,353873587,70.27,4.43,0.03,83.82,57.6,5.97,98.21,4.47,51.29,22.33,0.37,61.48
India,2007,6.75,41914.55,0.31,65.97,0.78,0.43,0.37,7.88,0.99,614435905,42.27,8.44,0.31,75.48,25.51,7.33,46.96,6.59,88.52,15.42,0.46,57.42
South Africa,2017,3.48,56483.68,0.95,56.46,0.83,0.33,0.1,7.07,0.74,293629521,59.4,4.88,0.1,89.76,56.09,8.55,92.87,6.22,60.68,18.85,0.6,82.98
China,2020,5.38,33716.24,0.71,62.99,0.31,0.28,0.18,12.62,0.79,828667048,45.59,8.9,0.91,43.5,49.63,8.38,81.73,5.97,58.64,60.9,0.4,86.25
Brazil,2012,7.96,36412.9,0.33,68.28,0.68,0.46,0.49,17.94,0.87,998921097,48.77,8.94,0.63,54.1,46.42,8.59,98.84,6.55,79.19,11.11,0.62,70.18
Canada,2019,6.85,58641.29,0.29,51.87,0.3,-0.0,0.49,13.47,0.66,714299428,66.83,5.99,0.67,74.02,23.32,5.58,36.55,3.86,79.73,70.43,0.47,61.65
South Africa,2021,4.05,38885.62,0.52,75.02,0.74,-0.14,0.77,6.35,0.61,355339152,33.87,8.94,0.85,92.83,56.76,8.93,57.63,5.22,74.85,68.81,0.66,71.54
Brazil,2021,5.51,2816.41,0.08,69.02,0.46,0.38,0.73,17.55,0.98,109621673,30.72,8.35,0.73,88.81,31.81,5.56,63.47,4.95,58.14,71.63,0.26,74.79
Germany,2017,4.17,43704.36,0.12,79.01,0.6,0.5,0.2,13.38,0.72,1421322942,37.84,4.41,0.12,80.77,49.82,3.34,77.05,7.62,73.57,71.51,0.17,76.08
China,2021,5.05,54422.65,0.18,59.51,0.42,0.2,0.59,5.94,0.5,1016851904,40.12,8.74,0.62,74.44,55.39,5.18,75.78,3.21,42.98,56.73,0.01,71.28
Germany,2010,6.9,47939.23,0.77,81.62,0.16,-0.16,0.02,8.51,0.92,279464843,41.87,4.21,0.98,77.89,29.77,4.72,93.44,4.69,92.53,69.32,0.6,50.18
China,2021,6.86,35446.16,0.51,84.95,0.18,0.35,0.4,16.22,0.8,290128407,76.44,4.91,0.21,52.82,56.58,5.14,88.71,8.51,64.9,61.12,0.98,72.65
Canada,2020,4.14,40606.91,0.01,82.18,0.08,-0.15,0.76,15.3,0.58,788005006,56.81,6.92,0.62,75.71,44.48,7.27,33.88,4.8,56.75,31.01,0.42,66.67
South Africa,2018,7.61,59421.32,0.67,77.23,0.62,0.18,0.4,12.38,0.52,292298149,58.2,4.4,0.56,69.63,46.36,7.26,64.06,3.91,87.34,62.86,0.21,76.71
India,2017,5.96,6349.06,0.42,78.43,0.85,-0.01,0.84,4.61,0.65,272720685,68.66,4.81,0.39,63.07,56.58,3.8,58.49,7.54,57.83,53.09,0.01,53.33
Germany,2010,4.9,40367.44,0.51,70.08,0.02,0.44,0.98,16.46,0.96,663494190,73.75,8.77,0.95,93.26,41.07,4.53,99.8,3.29,94.84,11.92,0.51,92.2
Germany,2007,5.51,17720.46,0.21,56.66,0.07,0.12,0.61,7.54,0.97,642937344,30.21,8.97,0.36,89.76,37.63,6.76,59.91,5.56,77.98,65.05,0.99,92.02
Australia,2018,6.03,38765.33,0.55,73.7,0.46,0.43,0.15,15.89,0.66,568952216,81.4,7.99,0.09,44.6,45.33,2.67,77.78,8.13,75.73,70.96,0.98,77.08
China,2018,5.8,36849.79,0.98,74.95,0.74,0.01,0.38,13.66,0.92,1215362046,89.31,6.58,0.96,99.14,42.16,7.51,49.91,8.72,48.35,46.22,0.1,85.38
France,2019,5.43,10053.95,0.07,84.49,0.16,0.07,0.01,6.76,0.72,566236144,37.31,8.5,0.73,53.8,22.46,3.43,73.02,4.49,73.54,44.09,0.82,71.02
South Africa,2012,5.52,13198.05,0.28,68.95,0.27,0.46,0.6,5.82,0.83,1179336906,69.06,4.56,0.34,52.92,27.22,8.81,44.46,4.78,48.53,39.91,0.17,78.33
China,2019,3.88,37676.15,0.24,59.5,0.23,-0.06,0.82,4.36,0.67,152642286,30.14,8.71,0.28,96.63,20.54,5.21,72.25,6.4,83.1,60.32,0.81,79.65
Australia,2017,7.06,8565.57,0.25,73.93,0.4,0.2,0.63,6.36,0.76,1121024527,32.94,5.76,0.93,66.69,24.33,3.77,90.77,4.36,47.61,25.08,0.85,66.99
USA,2021,5.71,16645.67,0.38,84.28,0.22,0.07,0.79,4.84,0.65,1464684852,47.1,8.31,0.27,88.32,49.19,7.34,31.35,3.9,59.74,64.18,0.01,96.12
China,2007,3.66,50279.49,0.82,56.2,0.35,0.34,0.8,13.11,0.53,1422170847,80.78,7.34,0.54,57.29,20.19,6.43,65.32,5.56,66.22,30.46,0.24,78.92
India,2010,6.83,20298.4,0.91,61.41,0.73,-0.11,0.85,12.78,0.57,1130543164,69.15,8.8,0.21,92.39,32.18,3.38,98.77,3.43,84.29,28.3,0.06,97.55
South Africa,2009,7.66,29795.55,0.2,68.97,0.61,0.11,0.27,12.55,0.65,968673498,56.75,8.32,1.0,89.94,37.97,8.62,41.15,8.37,74.8,66.64,0.5,70.75
Australia,2021,7.74,56527.28,0.54,55.96,0.08,0.29,0.87,13.55,0.99,1194906335,56.32,8.44,0.77,71.17,57.51,5.63,42.84,5.01,81.14,22.21,0.03,51.55
USA,2006,4.85,14401.8,0.64,50.78,0.64,0.08,0.65,16.67,0.98,615778507,57.96,7.16,0.57,82.3,33.08,3.22,62.96,5.02,53.42,70.38,0.63,64.52
UK,2019,3.68,23987.94,0.52,61.79,0.48,-0.16,0.29,18.44,0.91,1060885022,48.66,8.17,0.75,97.84,51.33,8.37,90.97,7.75,53.05,78.45,0.56,81.24
Australia,2009,5.59,36781.01,0.43,80.29,0.93,0.29,0.99,6.15,0.62,104669774,82.66,7.79,0.92,67.12,36.35,3.07,69.39,5.05,60.93,32.39,0.38,93.7
UK,2024,3.56,45565.0,0.19,51.52,0.29,0.15,0.95,12.58,0.72,1051850779,64.07,4.81,0.96,69.65,23.94,9.74,65.61,7.57,41.03,74.95,0.46,79.53
South Africa,2010,7.67,54197.55,0.49,65.01,0.73,-0.19,0.57,3.41,0.72,317607387,59.04,7.24,0.79,83.37,23.95,5.53,36.07,4.09,85.69,49.65,0.99,72.64
Germany,2010,3.92,55012.91,0.4,76.68,0.73,0.23,0.84,4.16,0.69,232428861,57.9,4.74,0.85,63.19,37.3,7.83,97.34,6.17,60.35,28.15,0.17,53.88
Australia,2022,4.26,46821.76,0.8,83.36,0.22,0.44,0.26,13.78,0.52,306417712,86.15,8.35,0.4,97.67,22.32,5.62,54.3,7.61,43.72,41.68,0.73,56.95
Canada,2022,5.03,14471.52,0.76,84.49,0.9,-0.12,0.42,10.76,0.77,676800211,73.42,4.33,0.39,42.43,42.86,3.5,47.63,5.7,87.97,66.0,0.65,52.57
UK,2008,4.92,2463.75,0.13,64.77,0.49,0.21,0.18,15.65,0.54,985919066,38.69,8.94,0.81,64.2,39.75,8.06,58.82,3.43,93.23,56.66,0.66,84.14
India,2021,6.97,23642.66,0.09,83.26,0.68,0.31,0.52,9.66,0.9,777600150,56.22,6.0,0.76,82.83,48.1,4.31,58.99,7.42,75.56,44.63,0.35,89.89
Canada,2018,5.28,9351.38,0.91,51.24,0.15,-0.15,0.5,4.3,0.85,648272547,47.3,4.85,0.9,65.76,27.42,7.46,62.1,5.96,59.61,28.01,0.22,57.89
Brazil,2018,3.85,42912.87,0.54,76.11,0.26,-0.18,0.21,17.7,0.68,355087303,89.21,8.68,0.13,55.55,43.72,4.06,78.2,4.9,62.76,60.81,0.65,65.61
Brazil,2017,4.34,40006.7,0.86,72.5,0.59,0.12,0.67,3.49,0.82,1052705535,54.92,4.23,0.69,64.81,26.98,3.93,90.76,8.96,54.09,31.93,0.91,73.0
USA,2011,5.55,3594.33,0.06,58.73,0.32,0.35,0.12,5.4,0.62,101718911,34.07,6.35,0.65,92.89,48.89,5.66,34.01,8.26,79.12,33.17,0.98,56.85
Germany,2016,3.74,50359.03,0.53,67.76,0.5,-0.09,0.06,6.99,0.63,216699302,54.67,7.85,0.8,72.82,32.29,8.53,64.35,3.23,59.58,62.28,0.48,69.98
South Africa,2019,6.06,15675.85,0.54,54.53,0.37,0.39,0.38,19.92,0.66,1471947327,49.28,5.58,0.02,60.11,44.58,6.91,58.98,6.56,41.79,49.09,0.43,96.41
Australia,2023,5.83,26501.4,0.86,80.51,0.64,0.26,0.41,9.5,0.9,397237257,65.97,6.64,0.83,80.29,55.31,2.52,30.76,5.13,42.54,23.01,0.35,84.52
France,2015,6.57,40408.09,0.1,62.53,0.49,0.03,0.32,11.03,0.61,412905303,43.56,7.5,0.33,76.71,39.53,7.87,87.15,3.22,73.81,58.1,0.81,58.01
India,2019,7.69,26335.71,0.24,71.91,0.0,0.16,0.26,15.85,0.78,1110458419,32.16,8.76,0.69,73.63,27.69,6.64,37.3,3.07,55.97,28.06,0.26,54.74
UK,2016,7.56,27035.98,0.41,55.56,0.65,0.48,0.34,13.46,0.6,1329986015,35.75,4.51,0.62,63.47,55.44,6.99,38.03,6.5,49.27,63.23,0.51,71.37
South Africa,2007,7.73,4872.05,0.87,57.22,0.42,-0.05,0.16,17.15,0.64,629095088,46.99,4.79,0.44,44.33,34.34,4.83,33.38,4.92,70.38,43.51,0.35,97.42
Canada,2021,4.22,24685.17,0.94,84.72,0.34,0.15,0.4,10.76,0.62,612550319,50.9,6.54,0.75,77.24,49.21,6.45,44.03,7.22,55.31,51.65,0.88,88.08
Brazil,2007,3.66,46126.03,0.99,76.36,0.09,0.24,0.9,19.5,0.82,94323633,80.07,6.09,0.96,65.19,32.8,4.98,42.38,5.73,44.03,52.07,0.28,64.07
India,2023,4.51,54995.4,0.96,83.67,0.22,-0.1,0.22,16.34,0.76,366898477,46.2,6.05,0.32,65.73,31.93,2.65,54.35,7.6,50.65,20.28,0.69,51.26
France,2024,7.48,25396.33,0.01,60.35,0.22,-0.17,0.68,9.22,0.86,996360001,31.89,5.48,0.75,54.04,45.68,8.76,76.15,7.88,82.78,55.53,0.59,69.74
Australia,2008,7.86,25991.56,0.05,55.76,0.94,-0.19,0.14,8.86,0.61,1399997382,76.84,6.8,0.31,54.97,26.25,7.42,33.8,6.94,86.86,70.7,0.33,57.71
USA,2007,7.3,42455.0,0.15,67.61,0.43,0.03,0.35,18.73,0.5,1353313953,82.14,8.42,0.85,87.25,54.68,7.36,90.22,5.51,87.97,72.38,0.25,58.65
France,2020,3.55,56623.55,0.35,67.31,0.04,-0.15,0.32,14.32,0.84,473967576,59.54,4.8,0.44,68.76,35.5,3.55,52.86,8.93,69.42,58.2,0.8,57.79
India,2016,7.74,16756.6,0.83,56.12,0.14,0.36,0.94,13.19,0.56,333965905,47.1,5.08,0.45,46.56,20.77,7.31,72.46,4.84,92.3,77.83,0.51,84.54
France,2012,5.12,26968.51,0.89,75.66,0.08,0.5,0.43,15.64,0.62,119465872,76.33,7.35,0.77,42.75,32.22,3.86,30.84,6.09,48.34,51.88,0.61,51.72
India,2021,3.05,47962.42,0.19,62.66,0.59,-0.16,0.69,12.1,0.65,160901039,30.53,4.28,0.5,53.48,51.4,7.5,55.61,6.12,77.31,27.84,0.96,77.11
India,2011,5.21,36971.92,0.62,56.52,0.19,0.1,0.6,4.87,0.87,448536157,85.44,7.37,0.27,69.25,54.37,4.67,30.14,5.57,78.73,56.21,0.4,86.12
China,2015,3.23,7524.59,0.92,61.62,0.5,-0.18,0.14,7.75,0.81,748280449,81.93,5.57,1.0,77.04,42.72,3.26,41.58,3.73,42.93,73.64,0.81,57.51
UK,2022,5.72,38036.23,0.46,69.73,0.37,-0.11,0.94,12.04,0.59,719991978,62.69,5.79,0.62,48.62,31.76,9.25,61.35,5.12,55.53,35.12,0.64,92.86
Brazil,2005,4.69,12018.03,0.1,75.43,0.8,0.03,0.35,2.33,0.8,1081275890,46.65,6.03,0.65,66.03,41.11,2.84,67.46,4.29,92.2,28.54,0.59,53.75
China,2007,5.37,31102.74,0.46,66.87,0.32,0.08,0.04,9.87,0.85,1098887326,31.97,5.75,0.65,44.35,53.46,8.09,40.71,8.4,81.75,77.66,0.05,82.77
Australia,2008,6.07,32217.09,0.38,68.4,0.46,0.46,0.3,15.6,0.69,478309333,89.99,8.21,0.88,42.26,32.64,2.81,82.17,6.93,43.01,63.66,0.91,58.25
China,2017,7.34,52696.0,0.58,54.86,0.72,0.08,0.34,4.96,0.62,658265830,75.72,8.73,0.18,91.8,35.42,7.48,43.23,4.73,69.74,13.48,0.23,88.69
Germany,2010,6.31,28287.16,0.44,82.01,0.43,0.15,0.09,3.16,0.84,1459272159,50.32,6.74,0.06,79.5,41.59,2.88,38.11,6.39,75.67,49.28,0.47,77.43
Germany,2018,5.17,17487.1,0.02,82.51,0.79,-0.03,0.62,17.05,0.81,521694376,31.16,6.91,0.39,86.87,55.49,6.07,53.34,8.12,93.52,26.41,0.75,78.28
Brazil,2009,7.1,14627.01,0.99,73.92,0.66,-0.2,0.35,13.11,0.54,944332907,68.36,4.35,0.56,50.91,43.29,3.5,68.6,8.61,79.4,30.08,0.52,66.61
France,2020,7.53,52580.86,0.54,50.62,0.41,0.43,0.63,5.18,0.83,335086875,89.21,7.57,0.29,59.33,28.3,8.93,99.22,3.45,75.13,16.13,0.0,63.6
UK,2019,3.6,11089.64,0.47,68.8,0.5,-0.14,0.01,16.51,0.74,120244048,72.42,6.92,0.69,66.63,23.56,5.21,59.31,7.72,89.97,26.17,0.95,72.24
Brazil,2019,5.66,26126.25,0.95,72.02,0.97,0.47,0.98,13.85,0.88,195245135,35.02,4.25,0.07,79.48,23.8,2.12,59.82,8.8,76.35,45.37,0.02,86.37
India,2008,4.42,12043.21,0.16,84.81,0.66,-0.11,0.17,8.01,0.6,325045078,54.14,4.99,0.79,72.09,58.01,7.03,34.15,5.8,91.27,15.5,0.09,58.07
Canada,2012,3.24,46624.94,0.19,84.86,0.9,0.22,0.66,8.77,0.63,361858402,36.55,5.01,0.72,73.09,52.9,5.56,83.61,8.97,67.1,72.28,0.22,89.18
UK,2020,6.34,28987.99,0.81,80.02,0.18,0.5,0.72,4.81,0.77,1141846415,84.73,4.85,0.21,49.42,50.63,8.88,42.72,8.74,79.52,64.28,0.6,73.03
UK,2020,7.31,21717.48,0.26,52.23,0.48,-0.1,0.17,17.03,0.74,722406794,49.82,7.29,0.3,68.49,39.85,5.47,82.14,6.94,74.75,36.7,0.97,71.71
India,2008,3.81,22304.88,0.8,83.36,0.91,0.1,0.11,11.16,0.69,1391444281,74.0,8.64,0.81,89.43,46.9,5.29,93.74,8.09,70.39,19.12,0.92,50.8
India,2017,7.06,51280.64,0.27,71.44,0.32,0.35,0.15,12.03,0.87,50138813,35.08,7.81,0.77,70.57,25.09,5.63,83.78,4.78,57.83,79.58,0.65,55.96
USA,2017,7.27,33672.66,0.03,78.03,0.97,-0.18,0.25,17.9,0.78,1182034820,37.7,6.39,0.81,51.98,44.84,8.88,74.97,8.5,89.71,49.43,0.74,70.73
Brazil,2006,7.57,43354.2,0.52,64.25,0.1,0.28,0.17,2.28,0.86,153927443,70.77,6.02,0.32,64.8,52.43,6.69,72.27,6.55,54.85,39.61,0.71,97.1
India,2007,4.33,53925.27,0.2,61.19,0.9,-0.14,0.67,3.2,0.58,48065824,80.61,5.93,0.97,85.29,22.49,7.35,61.75,6.06,48.77,23.9,0.69,62.01
Germany,2012,7.52,54202.76,0.76,66.21,0.45,-0.03,0.42,4.91,0.86,462176255,42.09,7.01,0.72,48.1,31.85,7.76,40.12,8.01,79.16,24.23,0.81,50.49
Australia,2019,4.6,20382.03,0.64,55.14,0.07,-0.09,0.54,2.54,0.73,529611621,55.1,5.8,0.07,74.83,24.41,9.5,84.52,8.34,70.06,65.73,0.34,70.92
Canada,2015,5.76,57194.62,0.92,62.5,0.88,0.44,0.05,13.85,0.52,322181866,67.17,5.13,0.48,97.92,30.41,8.7,63.41,7.21,54.46,46.39,0.22,50.77
Brazil,2013,3.25,2467.68,0.78,80.02,0.25,-0.07,0.86,13.41,0.62,916238992,77.78,7.01,0.66,62.82,50.9,9.42,73.8,3.15,87.87,78.88,0.35,66.14
South Africa,2011,3.22,23233.3,0.18,51.33,0.02,-0.17,0.17,5.79,0.51,1311352917,67.69,5.95,0.17,42.62,33.28,4.75,56.18,6.58,55.74,76.72,0.05,66.99
Germany,2017,6.6,53852.13,0.8,55.28,0.14,0.21,0.36,4.69,0.73,227594669,35.73,4.07,0.9,77.99,47.59,3.72,44.05,7.93,43.51,24.48,0.97,50.11
France,2006,5.22,17203.58,0.64,54.38,0.66,0.04,0.07,4.62,0.66,134168877,62.57,4.11,0.75,42.83,50.93,3.63,86.46,6.27,40.85,79.96,0.74,87.42
India,2012,4.28,17111.81,0.67,64.11,0.98,0.08,0.14,19.16,0.99,537001715,83.08,5.37,0.08,51.5,52.67,8.86,53.97,8.61,90.76,79.06,0.21,93.82
South Africa,2011,3.95,18854.71,0.83,84.89,0.11,-0.12,0.67,14.48,0.93,540093414,82.08,6.56,0.91,42.9,54.94,8.64,90.67,8.38,62.12,65.95,0.26,97.94
India,2016,6.35,37126.49,0.57,56.07,0.46,0.32,0.69,12.54,0.91,817292082,65.1,5.77,0.4,50.24,43.91,7.2,97.6,6.18,51.74,37.36,0.99,74.42
UK,2023,3.0,26861.63,0.47,55.09,0.18,0.22,0.68,7.8,0.75,160464569,89.74,4.12,0.45,91.3,31.23,2.5,88.1,5.42,71.19,25.69,0.77,64.72
Germany,2011,7.03,43877.36,0.64,82.03,0.75,0.05,0.55,9.79,0.9,60480602,36.31,5.12,0.78,84.09,26.02,4.54,38.97,3.33,66.83,17.22,0.43,84.44
UK,2014,3.4,53799.73,0.3,80.87,0.12,-0.08,0.95,3.61,0.63,1414430133,58.72,4.48,0.64,60.51,40.15,7.87,89.85,6.8,94.99,13.64,0.21,85.35
USA,2020,3.96,40777.76,0.18,51.13,0.24,0.22,0.51,19.97,0.78,443220005,76.51,8.74,0.44,93.83,24.14,3.99,66.36,4.6,88.87,67.46,0.04,68.2
UK,2007,4.93,13063.54,0.62,76.31,0.2,0.35,0.45,15.59,0.7,43904094,38.46,5.56,0.26,79.91,56.43,6.99,46.9,7.01,54.91,76.19,0.67,77.15
USA,2014,5.42,56028.23,0.23,72.94,0.55,0.02,0.25,13.19,0.59,1408085612,88.36,4.07,0.52,66.86,37.7,6.34,36.52,7.79,78.37,64.08,0.78,89.44
USA,2010,4.77,16605.08,0.08,76.87,0.87,-0.18,0.1,12.58,0.54,494574953,51.24,7.3,0.58,44.1,54.92,4.1,49.5,5.45,61.29,63.13,0.11,59.08
South Africa,2022,4.6,9843.76,0.0,67.31,0.51,-0.05,0.55,11.08,0.78,1202914005,51.01,5.16,0.63,83.84,48.37,9.47,39.62,3.09,60.04,39.06,0.0,50.98
India,2022,7.82,6308.07,0.61,84.7,0.06,0.28,0.31,6.63,0.55,904814206,42.79,6.83,0.61,62.53,54.29,4.05,31.8,8.19,60.19,54.88,0.36,75.91
France,2009,6.21,34239.64,0.36,51.53,0.56,0.49,0.52,6.08,0.86,960564292,47.28,4.75,0.62,58.17,55.36,9.16,99.14,6.29,75.16,56.99,0.67,81.89
UK,2011,3.12,7711.99,0.75,58.2,0.8,-0.19,0.21,11.89,0.96,798078188,64.66,8.92,0.48,57.3,22.13,6.33,88.21,4.89,69.59,28.01,0.92,77.6
Germany,2006,5.15,9187.78,0.38,63.88,0.13,0.01,0.84,3.26,0.58,1371166640,55.76,8.85,0.56,40.46,49.01,2.73,81.73,6.8,81.53,61.71,0.88,78.62
USA,2015,7.38,18701.8,0.49,65.74,0.07,-0.16,1.0,3.34,0.74,1348847893,41.6,7.28,0.29,84.56,29.06,8.67,43.51,7.05,48.41,20.23,0.69,68.87
India,2017,4.51,17617.53,0.41,82.25,0.19,0.02,0.32,12.09,0.87,1329790166,78.55,7.54,0.16,48.72,59.57,8.33,31.94,3.88,63.4,30.54,0.81,81.27
Canada,2009,3.47,36650.13,0.65,69.6,0.75,0.08,0.84,18.56,0.64,197447588,33.73,6.13,0.61,71.24,51.14,8.65,63.96,6.88,87.32,51.28,0.36,52.05
Brazil,2010,6.79,49187.97,0.36,51.58,0.59,0.44,0.87,18.46,0.96,938887860,80.08,8.81,0.05,40.96,20.15,7.11,81.92,4.72,40.17,47.77,0.25,57.26
South Africa,2018,6.03,45919.63,0.96,64.28,0.54,-0.14,1.0,2.19,0.94,1416035612,46.5,6.12,0.07,77.67,57.1,7.69,97.4,7.82,74.29,59.32,0.12,71.35
France,2016,5.85,16486.58,0.94,64.58,0.25,0.34,0.34,3.93,0.55,362827462,59.75,5.2,0.25,62.17,31.69,9.26,89.07,8.65,83.22,50.8,0.18,95.26
China,2008,3.27,15473.32,0.85,83.79,0.33,0.08,0.76,12.5,0.51,71784371,52.86,4.58,0.19,77.84,36.67,3.02,92.55,3.62,61.11,13.47,0.96,80.94
South Africa,2010,3.7,57981.7,0.92,70.97,0.97,0.37,0.23,17.27,0.99,736275686,64.24,5.04,0.37,45.39,44.49,2.66,46.71,8.5,88.6,78.44,0.93,67.05
Canada,2014,6.11,1485.94,0.45,72.25,0.24,0.16,0.62,19.18,0.98,720203950,77.76,6.86,0.37,55.98,56.65,3.0,40.87,8.42,80.46,63.44,0.05,71.98
Brazil,2022,4.04,52903.51,0.54,74.96,0.9,-0.17,0.7,17.49,0.71,459572214,89.36,5.23,0.12,46.62,57.09,8.96,47.34,5.06,73.33,71.63,0.47,90.59
Canada,2019,5.52,12783.98,0.74,76.95,0.58,0.46,0.74,14.2,0.53,718056768,48.36,7.27,0.25,78.76,42.54,6.5,39.7,3.17,50.91,66.27,0.37,76.04
UK,2012,5.72,56889.78,0.7,72.23,0.12,-0.14,0.21,5.61,0.81,1018817689,63.23,5.91,0.0,46.51,32.67,3.41,85.89,6.98,76.86,24.87,0.65,52.3
USA,2013,4.42,21196.13,0.89,58.3,0.47,0.22,0.85,3.31,0.65,717199051,57.96,8.43,0.35,77.03,31.17,3.13,93.21,5.07,85.86,75.29,0.33,70.01
France,2009,7.74,26980.75,0.72,80.59,0.95,0.41,0.42,2.86,0.97,577521617,89.94,6.79,0.8,48.08,34.58,5.56,51.51,4.15,80.14,78.89,0.28,68.63
Australia,2014,7.21,42720.12,1.0,75.62,0.42,-0.14,0.22,13.02,0.9,463654975,78.53,7.11,0.27,96.6,27.22,8.53,91.38,3.65,71.62,15.51,0.81,93.19
USA,2024,6.61,35672.47,0.35,75.97,0.86,0.19,0.54,2.65,0.82,1370723950,53.83,6.78,0.64,64.98,46.79,8.44,33.85,4.18,79.3,21.09,0.95,64.66
Australia,2010,3.39,19758.42,0.83,84.88,0.26,0.38,0.86,15.31,0.64,425025254,58.61,8.43,0.1,47.6,41.11,8.81,77.41,4.42,93.73,79.32,0.2,53.11
Brazil,2020,3.53,33676.02,0.7,78.09,0.57,0.49,0.97,14.82,0.85,694641640,44.76,4.32,0.01,42.51,50.94,8.15,66.92,7.77,40.59,30.54,0.24,67.03
India,2007,5.46,44111.71,0.69,79.02,0.84,0.31,0.75,3.43,0.64,436233915,75.31,4.34,0.5,59.77,23.76,2.49,49.37,7.7,76.52,67.39,0.42,52.11
China,2014,3.8,3497.76,0.33,83.3,0.92,-0.01,0.01,18.32,0.52,1207396760,80.71,7.51,0.46,93.48,36.0,7.76,83.77,5.97,83.61,15.19,0.71,89.95
Germany,2015,7.89,1660.76,0.79,55.29,0.49,0.29,0.13,11.39,0.75,228616632,87.9,7.84,0.19,48.63,29.59,6.15,44.84,6.32,75.14,61.27,0.17,78.33
USA,2015,3.79,28025.95,0.9,67.42,0.64,0.29,0.08,18.28,0.74,1444648952,63.95,6.17,0.29,87.45,41.41,7.81,59.13,8.51,55.02,59.1,0.47,72.53
France,2021,5.44,8778.36,0.22,70.32,0.0,0.29,0.1,18.23,0.88,1172966667,70.24,5.76,0.03,65.04,38.73,5.87,79.69,8.45,85.25,75.64,0.84,67.27
Canada,2008,4.82,40196.31,0.63,61.52,0.25,0.4,0.38,5.55,0.93,723019686,56.76,5.39,0.8,88.18,37.98,5.87,53.68,7.97,90.23,61.01,0.23,70.05
France,2008,6.2,13629.09,0.39,79.38,0.28,-0.14,0.34,8.85,0.68,279942687,66.55,5.17,0.3,92.46,32.63,3.01,89.88,5.25,77.59,12.9,0.05,87.82
Brazil,2021,3.65,26538.22,0.99,76.68,0.09,-0.12,0.11,4.42,0.72,251371582,50.92,8.56,0.22,99.87,49.07,9.24,90.58,5.2,68.11,41.53,0.91,58.64
Australia,2013,5.15,12662.59,0.48,75.23,0.28,0.25,0.88,15.95,0.74,70053444,74.26,5.48,0.8,44.09,39.26,5.0,44.18,8.33,60.15,34.35,0.79,53.43
Canada,2023,4.37,33360.53,0.23,84.9,0.32,0.47,0.62,11.07,0.66,39774563,31.36,7.24,0.04,87.78,28.09,6.66,60.83,8.56,58.15,49.95,0.7,76.96
Germany,2009,7.44,7847.15,0.38,59.08,0.97,0.13,0.8,18.72,0.87,662192640,31.71,7.94,0.28,44.18,41.9,3.66,60.24,7.79,79.78,39.98,0.09,91.23
Germany,2010,3.2,2363.3,0.65,75.74,0.67,0.47,0.37,5.75,0.76,395420782,72.97,4.11,0.26,58.89,43.87,4.95,58.7,7.54,73.39,29.66,0.9,76.99
USA,2007,7.57,4016.77,0.08,69.3,0.43,0.46,0.41,14.39,0.96,1238769576,85.84,4.17,0.26,78.77,20.86,8.96,65.14,6.35,48.63,56.27,0.31,88.22
Brazil,2005,7.16,57301.25,0.6,60.95,0.99,0.43,0.32,19.81,0.83,1437048549,67.93,5.67,0.01,66.84,28.15,3.68,35.21,5.03,47.76,31.78,0.21,92.85
India,2024,4.49,9394.89,0.93,55.62,0.15,0.44,0.44,13.98,0.61,498563917,73.59,7.48,0.93,73.92,29.7,3.65,90.9,4.44,43.91,69.55,0.49,53.69
Brazil,2020,6.95,42800.22,0.85,81.36,0.48,0.43,0.61,3.24,0.58,149249163,79.44,5.3,0.86,97.97,29.92,4.08,50.29,3.84,77.59,32.61,0.92,78.28
Australia,2015,3.16,5007.65,0.07,70.84,0.65,0.37,0.49,12.59,0.69,1187699222,51.7,4.01,0.41,89.12,29.55,6.6,30.13,7.37,57.29,46.07,0.99,89.97
France,2017,7.83,7381.46,0.99,78.87,0.06,0.29,0.84,5.24,0.67,825045253,36.49,5.44,0.45,61.82,30.87,6.17,77.96,7.66,41.11,67.82,0.61,80.89
Germany,2014,5.63,31023.7,0.7,69.09,0.72,-0.18,0.9,2.55,0.7,1127574700,85.99,4.45,0.52,76.0,30.51,3.4,75.53,5.15,58.57,67.6,0.96,78.39
